date,employee_id,employee_name,pay_type,hours_worked,hourly_rate,salary_monthly,tips_reported,overtime_hours,bonus,deductions_other,pay_period_start,pay_period_end,tax_status_federal,tax_status_state,allowances,department,notes
2024-01-12,E508,Dana Brooks,hourly,27,16.75,,0,0,0,0,2024-01-06,2024-01-12,S,NY,1,Sales,Part time
2024-01-19,E508,Dana Brooks,hourly,33,16.75,,0,0,0,0,2024-01-13,2024-01-19,S,NY,1,Sales,Regular
2024-01-26,E508,Dana Brooks,hourly,34,16.75,,0,0,0,0,2024-01-20,2024-01-26,S,NY,1,Sales,Regular
2024-02-02,E508,Dana Brooks,hourly,36,16.75,,0,0,0,0,2024-01-27,2024-02-02,S,NY,1,Sales,Regular
2024-02-09,E508,Dana Brooks,hourly,37,16.75,,0,0,0,0,2024-02-03,2024-02-09,S,NY,1,Sales,Regular
2024-02-16,E508,Dana Brooks,hourly,31,16.75,,0,0,0,0,2024-02-10,2024-02-16,S,NY,1,Sales,Regular
2024-02-23,E508,Dana Brooks,hourly,30,16.75,,0,0,0,0,2024-02-17,2024-02-23,S,NY,1,Sales,Fewer shifts
2024-03-01,E508,Dana Brooks,hourly,32,16.75,,0,0,0,0,2024-02-24,2024-03-01,S,NY,1,Sales,Regular
2024-03-08,E508,Dana Brooks,hourly,33,16.75,,0,0,0,0,2024-03-02,2024-03-08,S,NY,1,Sales,Regular

