date,employee_id,employee_name,pay_type,hours_worked,hourly_rate,salary_monthly,tips_reported,overtime_hours,bonus,deductions_other,pay_period_start,pay_period_end,tax_status_federal,tax_status_state,allowances,department,notes
2024-01-05,E403,Jordan Lee,salaried,0,,4100,0,0,0,0,2023-12-30,2024-01-05,S,TX,2,Admin,Monthly salary
2024-01-12,E403,Jordan Lee,salaried,0,,4100,0,0,0,0,2024-01-06,2024-01-12,S,TX,2,Admin,Monthly accrual
2024-01-19,E403,Jordan Lee,salaried,0,,4100,0,0,0,0,2024-01-13,2024-01-19,S,TX,2,Admin,Monthly accrual
2024-01-26,E403,Jordan Lee,salaried,0,,4100,0,0,0,0,2024-01-20,2024-01-26,S,TX,2,Admin,Monthly accrual
2024-02-02,E403,Jordan Lee,salaried,0,,4100,0,0,0,0,2024-01-27,2024-02-02,S,TX,2,Admin,Monthly accrual
2024-02-09,E403,Jordan Lee,salaried,0,,4100,0,0,0,0,2024-02-03,2024-02-09,S,TX,2,Admin,Monthly accrual
2024-02-16,E403,Jordan Lee,salaried,0,,4100,0,0,0,0,2024-02-10,2024-02-16,S,TX,2,Admin,Monthly accrual
2024-02-23,E403,Jordan Lee,salaried,0,,4100,0,0,0,0,2024-02-17,2024-02-23,S,TX,2,Admin,Monthly accrual
2024-03-01,E403,Jordan Lee,salaried,0,,4100,0,0,300,0,2024-02-24,2024-03-01,S,TX,2,Admin,Quarterly bonus
2024-03-08,E403,Jordan Lee,salaried,0,,4100,0,0,0,0,2024-03-02,2024-03-08,S,TX,2,Admin,Monthly accrual
2024-01-05,E404,Mia Chen,hourly,39,19.75,,0,0,0,0,2023-12-30,2024-01-05,S,TX,1,Design,Regular
2024-01-12,E404,Mia Chen,hourly,41,19.75,,0,1,0,0,2024-01-06,2024-01-12,S,TX,1,Design,Light OT
2024-01-19,E404,Mia Chen,hourly,37,19.75,,0,0,0,0,2024-01-13,2024-01-19,S,TX,1,Design,Regular
2024-01-26,E404,Mia Chen,hourly,36,19.75,,0,0,0,0,2024-01-20,2024-01-26,S,TX,1,Design,Short week
2024-02-02,E404,Mia Chen,hourly,40,19.75,,0,0,0,0,2024-01-27,2024-02-02,S,TX,1,Design,Regular
2024-02-09,E404,Mia Chen,hourly,41,19.75,,0,1,0,0,2024-02-03,2024-02-09,S,TX,1,Design,Client deadline
2024-02-16,E404,Mia Chen,hourly,39,19.75,,0,0,0,0,2024-02-10,2024-02-16,S,TX,1,Design,Regular
2024-02-23,E404,Mia Chen,hourly,40,19.75,,0,0,0,0,2024-02-17,2024-02-23,S,TX,1,Design,Regular
2024-03-01,E404,Mia Chen,hourly,41,19.75,,0,1,0,0,2024-02-24,2024-03-01,S,TX,1,Design,Light OT
2024-03-08,E404,Mia Chen,hourly,36,19.75,,0,0,0,0,2024-03-02,2024-03-08,S,TX,1,Design,Short week
2024-01-05,E405,Sam Torres,hourly,30,17.00,,0,0,0,0,2023-12-30,2024-01-05,M,TX,0,Support,Training
2024-01-12,E405,Sam Torres,hourly,32,17.00,,0,0,0,0,2024-01-06,2024-01-12,M,TX,0,Support,Building hours
2024-01-19,E405,Sam Torres,hourly,34,17.00,,0,0,0,0,2024-01-13,2024-01-19,M,TX,0,Support,Regular
2024-01-26,E405,Sam Torres,hourly,35,17.00,,0,0,0,0,2024-01-20,2024-01-26,M,TX,0,Support,Regular
2024-02-02,E405,Sam Torres,hourly,36,17.00,,0,0,0,0,2024-01-27,2024-02-02,M,TX,0,Support,Regular
2024-02-09,E405,Sam Torres,hourly,37,17.00,,0,0,0,0,2024-02-03,2024-02-09,M,TX,0,Support,Regular
2024-02-16,E405,Sam Torres,hourly,38,17.00,,0,0,0,0,2024-02-10,2024-02-16,M,TX,0,Support,Regular
2024-02-23,E405,Sam Torres,hourly,36,17.00,,0,0,0,0,2024-02-17,2024-02-23,M,TX,0,Support,Regular
2024-03-01,E405,Sam Torres,hourly,39,17.00,,0,0,0,0,2024-02-24,2024-03-01,M,TX,0,Support,Regular
2024-03-08,E405,Sam Torres,hourly,40,17.00,,0,0,0,0,2024-03-02,2024-03-08,M,TX,0,Support,Regular
2024-01-05,E406,Lila Nguyen,salaried,0,,3850,0,0,0,0,2023-12-30,2024-01-05,M,TX,1,Finance,Monthly salary
2024-01-12,E406,Lila Nguyen,salaried,0,,3850,0,0,0,0,2024-01-06,2024-01-12,M,TX,1,Finance,Monthly accrual
2024-01-19,E406,Lila Nguyen,salaried,0,,3850,0,0,0,0,2024-01-13,2024-01-19,M,TX,1,Finance,Monthly accrual
2024-01-26,E406,Lila Nguyen,salaried,0,,3850,0,0,0,0,2024-01-20,2024-01-26,M,TX,1,Finance,Monthly accrual
2024-02-02,E406,Lila Nguyen,salaried,0,,3850,0,0,0,0,2024-01-27,2024-02-02,M,TX,1,Finance,Monthly accrual
2024-02-09,E406,Lila Nguyen,salaried,0,,3850,0,0,0,0,2024-02-03,2024-02-09,M,TX,1,Finance,Monthly accrual
2024-02-16,E406,Lila Nguyen,salaried,0,,3850,0,0,0,0,2024-02-10,2024-02-16,M,TX,1,Finance,Monthly accrual
2024-02-23,E406,Lila Nguyen,salaried,0,,3850,0,0,0,0,2024-02-17,2024-02-23,M,TX,1,Finance,Monthly accrual
2024-03-01,E406,Lila Nguyen,salaried,0,,3850,0,0,0,0,2024-02-24,2024-03-01,M,TX,1,Finance,Monthly accrual
2024-03-08,E406,Lila Nguyen,salaried,0,,3850,0,0,0,0,2024-03-02,2024-03-08,M,TX,1,Finance,Monthly accrual
2024-01-05,E407,Chris Park,hourly,44,22.25,,0,4,0,0,2023-12-30,2024-01-05,S,TX,0,Operations,Overtime
2024-01-12,E407,Chris Park,hourly,40,22.25,,0,0,0,0,2024-01-06,2024-01-12,S,TX,0,Operations,Regular
2024-01-19,E407,Chris Park,hourly,39,22.25,,0,0,0,0,2024-01-13,2024-01-19,S,TX,0,Operations,Regular
2024-01-26,E407,Chris Park,hourly,41,22.25,,0,1,0,0,2024-01-20,2024-01-26,S,TX,0,Operations,Small OT
2024-02-02,E407,Chris Park,hourly,40,22.25,,0,0,0,0,2024-01-27,2024-02-02,S,TX,0,Operations,Regular
2024-02-09,E407,Chris Park,hourly,38,22.25,,0,0,0,0,2024-02-03,2024-02-09,S,TX,0,Operations,Regular
2024-02-16,E407,Chris Park,hourly,42,22.25,,0,2,0,0,2024-02-10,2024-02-16,S,TX,0,Operations,Overtime
2024-02-23,E407,Chris Park,hourly,37,22.25,,0,0,0,0,2024-02-17,2024-02-23,S,TX,0,Operations,Short week
2024-03-01,E407,Chris Park,hourly,40,22.25,,0,0,0,0,2024-02-24,2024-03-01,S,TX,0,Operations,Regular
2024-03-08,E407,Chris Park,hourly,41,22.25,,0,1,0,0,2024-03-02,2024-03-08,S,TX,0,Operations,Busy week
2024-01-05,E408,Dana Brooks,hourly,30,16.10,,0,0,0,0,2023-12-30,2024-01-05,S,TX,1,Sales,Part time
2024-01-12,E408,Dana Brooks,hourly,27,16.10,,0,0,0,0,2024-01-06,2024-01-12,S,TX,1,Sales,Part time
2024-01-19,E408,Dana Brooks,hourly,34,16.10,,0,0,0,0,2024-01-13,2024-01-19,S,TX,1,Sales,Regular
2024-01-26,E408,Dana Brooks,hourly,32,16.10,,0,0,0,0,2024-01-20,2024-01-26,S,TX,1,Sales,Regular
2024-02-02,E408,Dana Brooks,hourly,35,16.10,,0,0,0,0,2024-01-27,2024-02-02,S,TX,1,Sales,Regular
2024-02-09,E408,Dana Brooks,hourly,36,16.10,,0,0,0,0,2024-02-03,2024-02-09,S,TX,1,Sales,Regular
2024-02-16,E408,Dana Brooks,hourly,32,16.10,,0,0,0,0,2024-02-10,2024-02-16,S,TX,1,Sales,Regular
2024-02-23,E408,Dana Brooks,hourly,29,16.10,,0,0,0,0,2024-02-17,2024-02-23,S,TX,1,Sales,Fewer shifts
2024-03-01,E408,Dana Brooks,hourly,31,16.10,,0,0,0,0,2024-02-24,2024-03-01,S,TX,1,Sales,Regular
2024-03-08,E408,Dana Brooks,hourly,34,16.10,,0,0,0,0,2024-03-02,2024-03-08,S,TX,1,Sales,Regular

